ID,Prediction
1,-0.99727285
2,-4.466013
3,-1.862165
4,-3.4765406
5,-3.5092468
6,-4.499113
7,-6.670876
8,-0.26905248
9,1.4224625
10,0.7486734
11,-10.761827
12,-2.9086318
13,-1.1250479
14,1.0372818
15,-4.964957
16,-4.3807
17,-4.3853936
18,0.019491702
19,0.76921934
20,-2.64879
21,-8.886504
22,-2.444654
23,36.73679
24,1.4321649
25,-2.6366758
26,0.54382056
27,-5.936591
28,-3.2608895
29,-5.5203795
30,-0.97918916
31,-8.94449
32,-2.468556
33,-7.237765
34,-5.88027
35,-0.89853674
36,-4.6545267
37,-10.807077
38,-1.5218875
39,-0.6083601
40,3.4659624
41,1.1685894
42,-4.3491907
43,12.950392
44,-2.4280596
45,-6.2875214
46,-8.272903
47,-8.524698
48,-0.110029995
49,-3.8381467
50,-5.7895093
51,-10.070925
52,-1.5055754
53,1.7788873
54,-0.21593075
55,13.110666
56,0.031602323
57,-1.8390353
58,-0.86954105
59,0.103012174
60,0.6000356
61,-6.317649
62,-1.2488632
63,-5.3399973
64,-7.9764624
65,-7.7808466
66,-5.9346533
67,597.50336
68,-1.7302666
69,-9.20849
70,-13.645543
71,-8.805342
72,0.54932326
73,-9.45654
74,-2.4735603
75,1.56571
76,-3.87291
77,-24.778627
78,-1.5593063
79,0.18522161
80,-8.228456
81,-1.0209694
82,-8.828636
83,-9.391688
84,-7.80544
85,-4.353366
86,4.453108
87,-5.0505953
88,-6.3753424
89,-2.2118292
90,1.191138
91,1.4230454
92,2.019925
93,-4.545311
94,-5.5162516
95,-0.85567796
96,0.77282834
97,-5.8144913
98,-6.983471
99,-1.3616128
100,-1.2275268
101,1.895592
102,-1.8782322
103,-5.90761
104,0.6230308
105,4.515431
106,-2.5200644
107,-15.609873
108,-5.8152723
109,0.2773851
110,-1.0880023
111,-5.0063467
112,-5.272667
113,-3.542694
114,-4.019617
115,-0.9749159
116,-2.144094
117,-12.704046
118,-9.244378
119,-3.4058104
120,-0.42824185
121,1.6417649
122,-3.3982787
123,1.0589454
124,0.9214242
125,22.054623
126,-5.1264343
127,-1.2963926
128,-0.5891237
129,-1.4494649
130,-1.2555358
131,0.9774788
132,0.7105448
133,0.2738092
134,0.625865
135,-2.3082974
136,-3.3762531
137,-14.204668
138,-6.8979793
139,0.91537315
140,-6.496759
141,-1.3534088
142,-8.455269
143,-11.231612
144,-3.858195
145,-3.9504457
146,0.7483173
147,-3.0377145
148,-6.206438
149,0.236922
150,-5.306823
151,0.86093485
152,-0.2777786
153,-2.6840222
154,-8.913971
155,0.56280625
156,0.096414626
157,-0.689341
158,-4.981886
159,-5.1655493
160,-2.0106568
161,19.75584
162,-0.92215645
163,-10.985919
164,-8.305689
165,-5.3649893
166,-0.5299426
167,-0.25081307
168,-3.8653457
169,-7.900649
170,-4.0059896
171,13.939329
172,-6.8454456
173,-2.77723
174,-7.59325
175,-2.649714
176,-2.2368414
177,-4.2197123
178,-1.225462
179,-1.5085766
180,-3.6933951
181,0.651943
182,-4.5305557
183,-9.107348
184,-2.8647423
185,-5.900112
186,-3.861762
187,-3.9302254
188,-1.8696641
189,-4.815865
190,-8.485493
191,-2.3600717
192,-0.44081837
193,-5.6326
194,1.6615703
195,-0.60327554
196,-7.1606245
197,0.76379734
198,-11.412243
199,-0.64286697
200,-3.2748995
201,-4.8947234
202,-2.2013934
203,-8.322692
204,-4.1750803
205,-7.4915543
206,0.6211662
207,-2.8171782
208,-5.8426466
209,-0.18935215
210,-6.0404825
211,-6.6862288
212,-0.10929054
213,-0.6836606
214,-2.7832718
215,-5.8137736
216,18.138283
217,-6.8272877
218,-3.8667562
219,-6.0697136
220,19.950432
221,-1.2013395
222,-9.843702
223,-15.646242
224,533.38324
225,0.9185998
226,-5.9078465
227,-0.41077194
228,-9.083439
229,-13.439041
230,-0.48824072
231,3.0792034
232,-3.397626
233,0.64250904
234,-1.8954059
235,1.1889234
236,-1.198556
237,-5.769191
238,-0.49679223
239,-4.712386
240,-4.545322
241,0.5180563
242,-8.438353
243,-8.573497
244,-2.206561
245,-4.81975
246,2.2845116
247,-7.5072083
248,3.7500224
249,1.2789214
250,0.34411564
251,-3.3879228
252,-6.3697195
253,-8.051631
254,-12.564598
255,-0.56502014
256,-9.473312
257,-0.9292704
258,16.763348
259,-0.63968176
260,-6.688568
261,-3.066567
262,1.6633844
263,-20.011076
264,-3.6599128
265,-1.0362667
266,-2.2965388
267,-9.764353
268,1.5928388
269,-4.266534
270,-8.5307865
271,0.70339704
272,-3.5544538
273,-10.425457
274,-1.1022
275,-1.4371374
276,-1.6174567
277,-9.341063
278,-9.247574
279,-3.3048797
280,-2.1650171
281,26.111214
282,-4.1369443
283,-3.723833
284,-8.031247
285,-7.8722367
286,-7.222487
287,0.47743982
288,-2.109442
289,-5.4862323
290,-0.026628435
291,-0.17368972
292,6.2515593
293,-9.802963
294,-0.75428724
295,-2.4386516
296,-9.914624
297,-0.08864446
298,-0.27603537
299,-4.3535233
300,-3.056317
301,1.539361
302,-5.370862
303,-8.0701
304,-3.3883047
305,-3.0151665
306,0.6043479
307,-5.8996344
308,1.3635571
309,-3.7933314
310,-0.4100315
311,-2.1016843
312,-0.42791262
313,-8.20042
314,-2.3629704
315,-6.6524477
316,-4.002277
317,2.130822
318,-0.92953515
319,-1.205075
320,-3.6003428
321,-5.843837
322,-1.827797
